x,yHorner,yPolyval,erro
-2,4,4,0
-1.9,3.61,3.61,0
-1.8,3.24,3.24,0
-1.7,2.89,2.89,0
-1.6,2.56,2.56,0
-1.5,2.25,2.25,0
-1.4,1.96,1.96,0
-1.3,1.69,1.69,0
-1.2,1.44,1.44,0
-1.1,1.21,1.21,0
-1,1,1,0
-0.9,0.81,0.81,0
-0.8,0.64,0.64,0
-0.7,0.49,0.49,0
-0.6,0.36,0.36,0
-0.5,0.25,0.25,0
-0.4,0.16,0.16,0
-0.3,0.0899999999999999,0.0899999999999999,0
-0.2,0.04,0.04,0
-0.0999999999999999,0.00999999999999997,0.00999999999999997,0
0,0,0,0
0.0999999999999999,0.00999999999999997,0.00999999999999997,0
0.2,0.04,0.04,0
0.3,0.0899999999999999,0.0899999999999999,0
0.4,0.16,0.16,0
0.5,0.25,0.25,0
0.6,0.36,0.36,0
0.7,0.49,0.49,0
0.8,0.64,0.64,0
0.9,0.81,0.81,0
1,1,1,0
1.1,1.21,1.21,0
1.2,1.44,1.44,0
1.3,1.69,1.69,0
1.4,1.96,1.96,0
1.5,2.25,2.25,0
1.6,2.56,2.56,0
1.7,2.89,2.89,0
1.8,3.24,3.24,0
1.9,3.61,3.61,0
2,4,4,0
